# Planar mass-density profile of confined water (graphene slit).
# Computed with maicos.DensityPlanar(dens="mass", bin_width=0.1, dim=2,
# refgroup=water) on the graphene_water trajectory, centred on the water slab.
# columns: z (Angstrom)    rho (u/Angstrom^3)    sigma_rho (u/Angstrom^3)
   -7.9500  0.000000e+00  0.000000e+00
   -7.8500  0.000000e+00  0.000000e+00
   -7.7500  0.000000e+00  0.000000e+00
   -7.6500  0.000000e+00  0.000000e+00
   -7.5500  0.000000e+00  0.000000e+00
   -7.4500  0.000000e+00  0.000000e+00
   -7.3500  0.000000e+00  0.000000e+00
   -7.2500  0.000000e+00  0.000000e+00
   -7.1500  0.000000e+00  0.000000e+00
   -7.0500  0.000000e+00  0.000000e+00
   -6.9500  0.000000e+00  0.000000e+00
   -6.8500  0.000000e+00  0.000000e+00
   -6.7500  0.000000e+00  0.000000e+00
   -6.6500  0.000000e+00  0.000000e+00
   -6.5500  0.000000e+00  0.000000e+00
   -6.4500  0.000000e+00  0.000000e+00
   -6.3500  0.000000e+00  0.000000e+00
   -6.2500  0.000000e+00  0.000000e+00
   -6.1500  0.000000e+00  0.000000e+00
   -6.0500  0.000000e+00  0.000000e+00
   -5.9500  0.000000e+00  0.000000e+00
   -5.8500  0.000000e+00  0.000000e+00
   -5.7500  0.000000e+00  0.000000e+00
   -5.6500  0.000000e+00  0.000000e+00
   -5.5500  0.000000e+00  0.000000e+00
   -5.4500  0.000000e+00  0.000000e+00
   -5.3500  0.000000e+00  0.000000e+00
   -5.2500  4.538543e-05  1.096073e-05
   -5.1500  3.844413e-04  3.221838e-05
   -5.0500  1.740665e-03  6.698601e-05
   -4.9500  4.447772e-03  1.079482e-04
   -4.8500  7.953129e-03  1.396960e-04
   -4.7500  1.134102e-02  1.723943e-04
   -4.6500  1.462746e-02  1.904845e-04
   -4.5500  1.802069e-02  2.125773e-04
   -4.4500  2.124305e-02  2.344793e-04
   -4.3500  2.732768e-02  2.864049e-04
   -4.2500  4.386016e-02  6.721588e-04
   -4.1500  1.264900e-01  1.924386e-03
   -4.0500  3.979951e-01  3.844490e-03
   -3.9500  8.698640e-01  5.906052e-03
   -3.8500  1.351374e+00  6.757078e-03
   -3.7500  1.693068e+00  7.544997e-03
   -3.6500  1.811375e+00  7.971780e-03
   -3.5500  1.741093e+00  8.035636e-03
   -3.4500  1.579845e+00  7.264599e-03
   -3.3500  1.398090e+00  7.194477e-03
   -3.2500  1.205916e+00  6.712555e-03
   -3.1500  1.038248e+00  6.027811e-03
   -3.0500  8.865383e-01  5.667770e-03
   -2.9500  7.727609e-01  5.393331e-03
   -2.8500  6.779614e-01  4.944530e-03
   -2.7500  5.847319e-01  4.441152e-03
   -2.6500  5.185431e-01  4.310744e-03
   -2.5500  4.640787e-01  4.117473e-03
   -2.4500  4.144005e-01  3.844374e-03
   -2.3500  3.791384e-01  3.595560e-03
   -2.2500  3.515885e-01  3.468655e-03
   -2.1500  3.323766e-01  3.374424e-03
   -2.0500  3.172599e-01  3.304701e-03
   -1.9500  3.111647e-01  3.256056e-03
